Promedio horarios de so2Promedio horarios de so2
Fecha,Hora,ACO,AJM,AJU,ARA,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LAG,LLA,LPR,LVI,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
01-01-2021,1,nr,nr,nr,nr,1,nr,1,2,1,nr,1,nr,nr,nr,1,1,0,nr,nr,1,nr,nr,nr,2,nr,3,3,1,2,1,nr,2,2,3,nr,nr,nr,2,nr,nr,2,nr,nr,1,2,nr,15,nr,
01-01-2021,2,nr,nr,nr,nr,2,nr,1,2,1,nr,1,nr,nr,nr,1,2,0,nr,nr,1,nr,nr,nr,3,nr,3,3,1,2,1,nr,2,2,2,nr,nr,nr,2,nr,nr,3,nr,nr,1,3,nr,11,nr,
01-01-2021,3,nr,nr,nr,nr,1,nr,1,1,1,nr,1,nr,nr,nr,1,1,0,nr,nr,0,nr,nr,nr,1,nr,3,2,1,1,0,nr,1,1,1,nr,nr,nr,2,nr,nr,2,nr,nr,0,1,nr,7,nr,
01-01-2021,4,nr,nr,nr,nr,1,nr,1,1,1,nr,0,nr,nr,nr,1,1,0,nr,nr,0,nr,nr,nr,1,nr,3,2,1,1,0,nr,1,1,1,nr,nr,nr,2,nr,nr,2,nr,nr,0,1,nr,7,nr,
01-01-2021,5,nr,nr,nr,nr,1,nr,1,1,1,nr,0,nr,nr,nr,1,1,0,nr,nr,1,nr,nr,nr,1,nr,3,2,1,0,0,nr,1,1,1,nr,nr,nr,1,nr,nr,2,nr,nr,0,1,nr,6,nr,
01-01-2021,6,nr,nr,nr,nr,1,nr,1,1,1,nr,0,nr,nr,nr,2,1,0,nr,nr,1,nr,nr,nr,1,nr,3,1,1,1,0,nr,1,1,1,nr,nr,nr,1,nr,nr,2,nr,nr,0,1,nr,4,nr,
01-01-2021,7,nr,nr,nr,nr,0,nr,1,1,1,nr,0,nr,nr,nr,2,0,0,nr,nr,1,nr,nr,nr,1,nr,3,1,1,1,0,nr,1,2,1,nr,nr,nr,1,nr,nr,1,nr,nr,0,1,nr,3,nr,
01-01-2021,8,nr,nr,nr,nr,0,nr,1,1,1,nr,0,nr,nr,nr,1,1,0,nr,nr,1,nr,nr,nr,1,nr,3,1,0,1,0,nr,1,2,1,nr,nr,nr,1,nr,nr,1,nr,nr,1,1,nr,3,nr,
01-01-2021,9,nr,nr,nr,nr,1,nr,1,2,1,nr,0,nr,nr,nr,2,2,0,nr,nr,1,nr,nr,nr,1,nr,3,1,1,2,0,nr,2,3,1,nr,nr,nr,1,nr,nr,2,nr,nr,1,2,nr,3,nr,
01-01-2021,10,nr,nr,nr,nr,2,nr,1,2,1,nr,0,nr,nr,nr,4,1,0,nr,nr,1,nr,nr,nr,1,nr,3,2,0,1,0,nr,2,2,1,nr,nr,nr,1,nr,nr,2,nr,nr,1,2,nr,4,nr,
