Promedio horarios de wspPromedio horarios de wsp
Fecha,Hora,ACO,AJU,ATI,CAM,CES,MON,CHO,COY,CUA,CUT,FAC,HGM,IMP,IZT,LLA,LPR,MER,NEZ,PED,PLA,SAG,SFE,SJA,SUR,TAC,TAH,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-10-2005,1,nr,nr,nr,nr,nr,0.9,nr,nr,0.6,nr,0.7,nr,nr,nr,nr,nr,1,nr,0.5,0.5,1,nr,nr,nr,0.9,1.7,nr,1,nr,1.6,nr,nr,0.4,0.4,
01-10-2005,2,nr,nr,nr,nr,nr,0.9,nr,nr,0.6,nr,0.3,nr,nr,nr,nr,nr,0.8,nr,0.4,nr,1,nr,nr,nr,0.8,0.2,nr,0.8,nr,1.5,nr,nr,0.4,0.4,
01-10-2005,3,nr,nr,nr,nr,nr,0.8,nr,nr,0.4,nr,0.4,nr,nr,nr,nr,nr,0.7,nr,0.4,nr,0.9,nr,nr,nr,0.5,0.5,nr,0.6,nr,1.7,nr,nr,0.8,0.5,
01-10-2005,4,nr,nr,nr,nr,0,0.4,nr,nr,0.3,nr,0.5,nr,nr,nr,nr,nr,0.7,nr,0.4,nr,1.2,nr,nr,nr,0.5,0.9,nr,1,nr,1.8,nr,nr,0.8,0.4,
01-10-2005,5,nr,nr,nr,nr,0.1,0.4,nr,nr,0.3,nr,nr,nr,nr,nr,nr,nr,0.8,nr,nr,nr,1,nr,nr,nr,0.6,0.6,nr,0.9,nr,1.4,nr,nr,0.3,0.4,
01-10-2005,6,nr,nr,nr,nr,0.3,0.2,nr,nr,0.4,nr,nr,nr,nr,nr,nr,nr,0.6,nr,nr,nr,0.9,nr,nr,nr,0.5,0.9,nr,nr,nr,1.4,nr,nr,0.4,0.3,
01-10-2005,7,nr,nr,nr,nr,0.2,0.8,nr,nr,0.3,nr,nr,nr,nr,nr,nr,nr,0.3,nr,nr,nr,0.8,nr,nr,nr,0.6,0.6,nr,nr,nr,1.3,nr,nr,0.5,0.6,
01-10-2005,8,nr,nr,nr,nr,0.1,0.5,nr,nr,0.4,nr,nr,nr,nr,nr,nr,nr,0.6,nr,0.3,nr,0.9,nr,nr,nr,0.5,0.9,nr,nr,nr,1.1,nr,nr,0.5,0.7,
01-10-2005,9,nr,nr,nr,nr,0.4,0.8,nr,nr,0.5,nr,0.4,nr,nr,nr,nr,nr,0.7,nr,0.4,nr,0.9,nr,nr,nr,0.6,1.3,nr,0.9,nr,0.3,nr,nr,0.8,0.8,
01-10-2005,10,nr,nr,nr,nr,0.4,0.8,nr,nr,0.4,nr,nr,nr,nr,nr,nr,nr,0.2,nr,0.5,nr,0.8,nr,nr,nr,0.3,1.4,nr,0.7,nr,0.6,nr,nr,0.8,1.1,
01-10-2005,11,nr,nr,nr,nr,0.3,0.9,nr,nr,0.6,nr,nr,nr,nr,nr,nr,nr,0.4,nr,0.6,nr,0.7,nr,nr,nr,0.5,0.8,nr,0.7,nr,0.5,nr,nr,1.3,1,
01-10-2005,12,nr,nr,nr,nr,0.2,1.1,nr,nr,0.6,nr,nr,nr,nr,nr,nr,nr,0.4,nr,0.3,nr,0.7,nr,nr,nr,0.4,1.4,nr,0.6,nr,0.9,nr,nr,0.8,0.8,
01-10-2005,13,nr,nr,nr,nr,0.3,1.3,nr,nr,0.9,nr,1.2,nr,nr,nr,nr,nr,0.6,nr,0.7,nr,1,nr,nr,nr,0.8,1.7,nr,1.1,nr,0.8,nr,nr,0.7,0.8,
01-10-2005,14,nr,nr,nr,nr,0.5,1.8,nr,nr,1.3,nr,1.3,nr,nr,nr,nr,nr,0.9,nr,0.5,nr,1.2,nr,nr,nr,0.9,1.6,nr,1.2,nr,0.8,nr,nr,1.2,0.8,
