Promedio horarios de wspPromedio horarios de wsp
Fecha,Hora,ACO,AJM,AJU,ATI,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,IMP,INN,IZT,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SS1,SUR,TAC,TAH,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
02-10-2022,8,1.7,0.7,nr,nr,1,nr,nr,nr,nr,0.3,nr,0.7,1.1,0.5,0.8,nr,0.9,nr,0.4,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.8,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-10-2022,9,1,1.6,nr,nr,1.2,nr,nr,nr,nr,0.7,nr,1.4,1,0.8,1.5,nr,1.5,nr,0.6,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.1,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-10-2022,10,1.2,1.7,nr,nr,1.4,nr,nr,nr,nr,0.9,nr,1.6,1.1,1.3,1.4,nr,1.5,nr,2,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.1,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-10-2022,11,1.4,2,nr,nr,1.6,nr,nr,nr,nr,0.9,nr,1.9,1.6,1.4,1.4,nr,1.9,nr,1.9,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.6,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-10-2022,12,1.9,2.2,nr,nr,1.4,nr,nr,nr,nr,0.8,nr,2.4,1.6,1.6,1.9,nr,1.5,nr,2.1,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.5,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-10-2022,13,2.5,3,nr,nr,1.8,nr,nr,nr,nr,1.4,nr,2.1,2.1,1.7,1.9,nr,1.6,nr,2.4,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.5,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-10-2022,14,2.5,2.6,nr,nr,2.1,nr,nr,nr,nr,1.2,nr,2.2,1.8,1.7,1.6,nr,1.6,nr,2.4,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.7,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-10-2022,15,2.5,2.6,nr,nr,1.8,nr,nr,nr,nr,1.9,nr,2.1,1.6,1.6,1.7,nr,1.7,nr,2.5,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.8,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-10-2022,16,2.6,2.1,nr,nr,1.9,nr,nr,nr,nr,3.7,nr,2.2,1.9,1.4,1.9,nr,2,nr,1.9,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.6,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-10-2022,17,4.6,1.4,nr,nr,1.1,nr,nr,nr,nr,4.1,nr,2.1,2.7,1.4,2.1,nr,1.7,nr,1.2,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.3,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-10-2022,18,4.2,2.1,nr,nr,1.1,nr,nr,nr,nr,4.4,nr,1.7,3.9,2.9,4.3,nr,2,nr,1.3,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,3.6,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-10-2022,19,3,3.1,nr,nr,3,nr,nr,nr,nr,4,nr,4.5,3.6,3.3,4.6,nr,3.6,nr,1.1,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,3.3,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-10-2022,20,3.1,4.6,nr,nr,3.5,nr,nr,nr,nr,3.1,nr,3.1,4,3.3,5.4,nr,4,nr,1.1,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,2.5,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-10-2022,21,4.1,4.8,nr,nr,3.3,nr,nr,nr,nr,2.2,nr,3.3,3.3,3.4,4.7,nr,6.7,nr,1.5,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,4,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-10-2022,22,2.2,3.1,nr,nr,2.9,nr,nr,nr,nr,1.4,nr,2.1,2.7,3.3,4.6,nr,6,nr,1.3,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,4,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-10-2022,23,2.6,2.8,nr,nr,2.5,nr,nr,nr,nr,0.8,nr,1.7,1.4,2.9,3.7,nr,4.2,nr,0.7,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,4.1,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-10-2022,24,2.1,1.8,nr,nr,2.1,nr,nr,nr,nr,0.7,nr,1.5,0.8,1.8,2.1,nr,3,nr,0.4,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,3.4,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
03-10-2022,1,1.4,1.2,nr,nr,1.7,nr,nr,nr,nr,0.7,nr,1.3,0.8,1.3,1.3,nr,2.3,nr,0,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,2.8,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
03-10-2022,2,0.6,1.2,nr,nr,1.5,nr,nr,nr,nr,0.7,nr,1.1,1.5,0.8,1.4,nr,3.1,nr,0.1,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,3,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
